timestamp,cx,cy,area_pixels_512
20231202_0015,324.13385826771656,366.0727188513201,2159
20231202_0045,322.74988692899143,365.7896879240163,2211
20231202_0115,319.09087102177557,368.1360971524288,2388
20231202_0145,319.0467365028203,367.11764705882354,2482
20231202_0215,316.7410782080486,361.7274107820805,2634
20231202_0245,318.06361122086133,362.3461082576057,2531
20231202_0315,314.55286521388217,360.9192897497982,2478
20231202_0345,315.4459869848156,362.5622559652928,2305
20231202_0415,314.19261822376006,345.45098039215685,1734
20231202_0445,316.2240566037736,344.5347877358491,1696
20231202_0515,492.6338383838384,358.5183080808081,1584
20231202_0545,493.22007978723406,358.3351063829787,1504
20231202_0615,494.228439763002,359.54904542462145,1519
20231202_0645,493.39052890528905,359.5959409594096,1626
20231202_0715,492.80781550288276,359.1095451633568,1561
20231202_0745,492.27524115755625,357.5704180064309,1555
20231202_0815,496.14234104046244,356.8699421965318,1384
20231202_0845,495.2127965492451,356.99496764917325,1391
20231202_0915,494.4099472494348,355.4717407686511,1327
20231202_0945,494.0068233510235,354.2236542835481,1319
20231202_1015,493.8706697459584,354.42494226327943,1299
20231202_1045,495.5058626465662,352.16582914572865,1194
20231202_1115,494.75805119735753,351.2774566473988,1211
20231202_1145,494.4707423580786,349.1703056768559,1145
20231202_1215,495.0350569675723,348.7248028045574,1141
20231202_1245,310.5013054830287,313.4569190600522,1149
20231202_1315,310.15056570931245,312.75543951261966,1149
20231202_1345,310.2125317527519,311.653683319221,1181
20231202_1415,313.2047377326565,310.08460236886634,1182
20231202_1445,313.1968085106383,309.9794832826748,1316
20231202_1515,311.7676685621446,310.7043054427295,1231
20231202_1545,309.5429029671211,311.13392141138735,1247
20231202_1615,310.1714087439278,309.8875780707842,1441
20231202_1645,309.78985507246375,310.9361001317523,1518
20231202_1715,309.55186440677966,311.76,1475
20231202_1745,254.96287502698036,108.09506978919347,111192
20231202_1749,254.9310689670706,107.90346412000541,110995
20231202_1754,254.88408564762685,107.92127048183546,111013
20231202_1758,254.94050567920806,107.92730973977427,111019
20231202_1802,254.9398432573642,107.91844878839744,111010
20231202_1807,254.9319322204906,107.91541974830416,111007
20231202_1815,254.8961674294569,107.90514072579192,110996
20231202_1819,254.87110378200103,107.8829805448172,110973
20231202_1824,254.88342253698798,107.8917932637725,110982
20231202_1828,254.88947781881225,107.66107434061419,110747
20231202_1832,254.82503671535017,107.89856652461054,110989
20231202_1837,254.88529361410718,107.88872669604159,110979
20231202_1845,254.89640102364476,107.88549776528258,110976
20231202_1849,254.9215544965633,107.91578008594053,111007
20231202_1854,254.90492621488676,107.90688120506675,110998
20231202_1858,254.92285310200074,107.91758325901503,111009
20231202_1902,254.90019731685123,107.89819711863338,110989
20231202_1907,254.93945319540063,107.88137548210359,110972
20231202_1915,254.92191907993762,107.8590072916385,110949
20231202_1919,254.91200511891566,107.8706392336046,110961
20231202_1924,254.9347904461469,107.860360522758,110950
20231202_1928,254.94348703897322,107.85806864477053,110948
20231202_1932,254.95196294026462,107.86600093730848,110956
20231202_1937,254.91314420675917,107.84182960579099,110931
20231202_1945,254.9607031313286,108.00896465441977,111103
20231202_1949,254.93656817321386,107.84831166958121,110938
20231202_1954,254.88446071447893,107.81747606080825,110906
20231202_1958,254.93701949910877,107.98860301398966,111082
