timestamp,smooth_cx,smooth_cy,is_predicted,raw_cx,raw_cy
20231202_0715,198.20468139648438,591.6840209960938,True,499.2154471544715,358.99024390243903
20231202_0745,195.95916748046875,595.6597290039062,True,498.1115569823435,357.5529695024077
20231202_0815,193.71365356445312,599.6354370117188,True,496.7427075542259,356.9663425579656
20231202_0845,191.4681396484375,603.6111450195312,True,495.94554819720383,357.0787343635026
20231202_0915,189.22262573242188,607.5868530273438,True,495.19951338199513,354.2830494728305
20231202_0945,186.97711181640625,611.5625610351562,True,494.6807181889149,353.82045277127247
20231202_1015,184.73159790039062,615.5382690429688,True,494.66692667706707,353.7277691107644
20231202_1045,182.486083984375,619.5139770507812,True,496.42578456318915,351.5937234944869
20231202_1115,180.24057006835938,623.4896850585938,True,496.2444641275465,350.3808680248007
20231202_1145,177.99505615234375,627.4653930664062,True,496.1347785108388,348.28934967012253
20231202_1215,175.74954223632812,631.4411010742188,True,498.5126315789474,346.88
20231202_1245,173.5040283203125,635.4168090820312,True,309.54334677419354,314.7288306451613
20231202_1315,171.25851440429688,639.3925170898438,True,497.41468253968253,343.61805555555554
20231202_1345,169.01300048828125,643.3682250976562,True,309.61937377690805,312.4275929549902
20231202_1415,166.76748657226562,647.3439331054688,True,497.11843460350156,340.18434603501544
20231202_1445,164.52197265625,651.3196411132812,True,312.3694493783304,311.3436944937833
20231202_1515,162.27645874023438,655.2953491210938,True,495.5997842502697,337.831715210356
20231202_1545,160.03094482421875,659.2710571289062,True,307.8459273797841,314.8076545632974
20231202_1615,157.78543090820312,663.2467651367188,True,309.60558069381597,310.59276018099547
20231202_1645,155.5399169921875,667.2224731445312,True,309.3454680534918,312.20579494799404
20231202_1715,153.29440307617188,671.1981811523438,True,309.5238455715367,312.83194549583646
20231202_1745,151.04888916015625,675.1738891601562,True,254.9415233591931,108.14234859449304
20231202_1749,148.80337524414062,679.1495971679688,True,254.93874096152288,107.95960487334877
20231202_1754,146.557861328125,683.1253051757812,True,254.88412619829876,108.00068409919439
20231202_1758,144.31234741210938,687.1010131835938,True,254.95716587310875,108.00875763930767
20231202_1802,142.06683349609375,691.0767211914062,True,254.93471566967983,107.97476320812476
20231202_1807,139.82131958007812,695.0524291992188,True,254.94057426865834,107.96976490820525
20231202_1815,137.5758056640625,699.0281372070312,True,254.88657482441923,107.96713488204574
20231202_1819,135.33029174804688,703.0038452148438,True,254.86738774113365,107.94589239719735
20231202_1824,133.08477783203125,706.9795532226562,True,254.89147349651483,107.94998288935717
20231202_1828,130.83926391601562,710.9552612304688,True,254.8572485607551,107.73414123549476
20231202_1832,128.59375,714.9309692382812,True,254.82433028679483,107.96256809688893
20231202_1837,126.34823608398438,718.9066772460938,True,254.8848027518392,107.96068543848433
20231202_1845,124.10272216796875,722.8823852539062,True,254.9256167085461,107.9407293327209
20231202_1849,121.85720825195312,726.8580932617188,True,254.93081562837594,107.98668527187613
20231202_1854,119.6116943359375,730.8338012695312,True,254.91320476113302,107.97284497505987
20231202_1858,117.36618041992188,734.8095092773438,True,254.9081193503079,107.97489826052508
20231202_1902,115.12066650390625,738.7852172851562,True,254.90840759744353,107.99586821496084
20231202_1907,112.87515258789062,742.7609252929688,True,254.95866124007276,107.96474814961552
20231202_1915,110.629638671875,746.7366333007812,True,254.92778278097984,107.94724423631123
20231202_1919,108.38412475585938,750.7123413085938,True,254.9211720635378,107.95886611677412
20231202_1924,106.13861083984375,754.6880493164062,True,254.94135816366042,107.95438868226967
